# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,sdss_g,sdss_r
8.900000000000000355e+00,2.416715859906638470e-11,7.452495447589087274e-03,9.971924250546264357e-03,7.694377398989033168e+00,7.752798591155197983e+00
8.949999999999999289e+00,2.674313441378900982e-11,9.227973472440267888e-03,1.243972144817930350e-02,7.543182303490041818e+00,7.593327153236629101e+00
9.000000000000000000e+00,2.954372759979245723e-11,1.141316849446954128e-02,1.550114332563742349e-02,7.394595310434560531e+00,7.435742197396542963e+00
9.050000000000000711e+00,3.257579422844089373e-11,1.409750454936000222e-02,1.929217815399071959e-02,7.248845323277606667e+00,7.280228469897494392e+00
9.099999999999999645e+00,3.584272516234608455e-11,1.738804308766974185e-02,2.397727108780722469e-02,7.106137050780560571e+00,7.126899390518559585e+00
9.150000000000000355e+00,3.934328398048265955e-11,2.141179334519606112e-02,2.975421119791392052e-02,6.966574620189440736e+00,6.975589584184049841e+00
9.199999999999999289e+00,4.307024147416993486e-11,2.631765704283502150e-02,3.685942444833876369e-02,6.830355947851245446e+00,6.826375557870925093e+00
9.250000000000000000e+00,4.700880655837728976e-11,3.227623215126672329e-02,4.557350879829582396e-02,6.698149154817684803e+00,6.680381493495659129e+00
9.300000000000000711e+00,5.113487013183366364e-11,3.948826708602204416e-02,5.622673693126764571e-02,6.570450557976712957e+00,6.538359749330197701e+00
9.349999999999999645e+00,5.541310273493897511e-11,4.818533516866506383e-02,6.920410445766876639e-02,6.447672776689316265e+00,6.400837645697500022e+00
9.400000000000000355e+00,5.979498045908190553e-11,5.863035918833320315e-02,8.494931199097162378e-02,6.330214620024086969e+00,6.268240770084759106e+00
