# log_age,stellar_mass,formed_mass,SDSS_u,SDSS_g,SDSS_r
7.450000000000000178e+00,5.339004844445965903e-03,5.975267590937759915e-03,6.324266629840657572e+00,6.320284028029568901e+00,6.490208821039757936e+00
7.500000000000000000e+00,5.945358330292115252e-03,6.702057605952846039e-03,6.291325058627016631e+00,6.277505215187503040e+00,6.442080096421449298e+00
7.549999999999999822e+00,6.620402950004982724e-03,7.516934545105783717e-03,6.258853243081645701e+00,6.234436454109541614e+00,6.394668062453021662e+00
7.599999999999999645e+00,7.372211732754364172e-03,8.430493191995416802e-03,6.226269988280762391e+00,6.189705707794310285e+00,6.345638980810718976e+00
7.650000000000000355e+00,8.209293620400001656e-03,9.454581596783849864e-03,6.193616127826658158e+00,6.143505900608289494e+00,6.295319782221994842e+00
7.700000000000000178e+00,9.141042426895312767e-03,1.060244387029818033e-02,6.160946152470870629e+00,6.096044784209233569e+00,6.244122956297786686e+00
7.750000000000000000e+00,1.017790480987406168e-02,1.188887781960139625e-02,6.128477060342184757e+00,6.047870442624621035e+00,6.192454681298876551e+00
7.799999999999999822e+00,1.133148384159217079e-02,1.333040858387005839e-02,6.096663948530718358e+00,6.000131321312636601e+00,6.140797233206839678e+00
7.849999999999999645e+00,1.261454485091529493e-02,1.494547940868625954e-02,6.065785153988983325e+00,5.953418491684480784e+00,6.089496935068453354e+00
7.900000000000000355e+00,1.404116313753389113e-02,1.675466063433996358e-02,6.035964652420958032e+00,5.907925728688937284e+00,6.039269616901663085e+00
7.950000000000000178e+00,1.562720583328553944e-02,1.878087785526981121e-02,6.007100292364007998e+00,5.863304162031262479e+00,5.989921871335461390e+00
8.000000000000000000e+00,1.739029946009539029e-02,2.104966001555707428e-02,5.979056408065162032e+00,5.818937448030759185e+00,5.940705447288998187e+00
8.050000000000000711e+00,1.934952871494387966e-02,2.358940791721137950e-02,5.951977768034232952e+00,5.774940019875877795e+00,5.891845975077274034e+00
8.099999999999999645e+00,2.152586115378750040e-02,2.643168320636374649e-02,5.925991384348684221e+00,5.731520157642627566e+00,5.843775922549248492e+00
8.150000000000000355e+00,2.394057799396293387e-02,2.961151733365406311e-02,5.901150639505864604e+00,5.688730795705907894e+00,5.796575588590222594e+00
8.199999999999999289e+00,2.661651496102642248e-02,3.316773921798999575e-02,5.877495355249841680e+00,5.646622120485005780e+00,5.750269779935834435e+00
8.250000000000000000e+00,2.958093207795072302e-02,3.714331932793282776e-02,5.855121132013962892e+00,5.605256578425880321e+00,5.704851154487712961e+00
8.300000000000000711e+00,3.286780684927721741e-02,4.158572657320407789e-02,5.834071861957305316e+00,5.564553695690442225e+00,5.660086676217588320e+00
8.349999999999999645e+00,3.651436649323598627e-02,4.654729270076125858e-02,5.814436849000593099e+00,5.524583250021208869e+00,5.615993365174048790e+00
8.400000000000000355e+00,4.055734420753926567e-02,5.208557673512704406e-02,5.796325567330235629e+00,5.485448414186350874e+00,5.572425974385637915e+00
8.449999999999999289e+00,4.503601269359262110e-02,5.826371929986898235e-02,5.779741761232678243e+00,5.447236654992238414e+00,5.529249987361311014e+00
8.500000000000000000e+00,4.998748286812228908e-02,6.515077330530556765e-02,5.764689730291195247e+00,5.410117952862179891e+00,5.486647961235796345e+00
8.550000000000000711e+00,5.546126605255043834e-02,7.282199337871025913e-02,5.751198548250791021e+00,5.374353736191515907e+00,5.444849443523011701e+00
8.599999999999999645e+00,6.151249241727532041e-02,8.135906143804476354e-02,5.739278283716259921e+00,5.340190686022545208e+00,5.403986785230877388e+00
8.650000000000000355e+00,6.818918473337069741e-02,9.085021986640977321e-02,5.729014655046604787e+00,5.307841814694171489e+00,5.364264927864176968e+00
8.699999999999999289e+00,7.554627801653404640e-02,1.013902767511248443e-01,5.720578443874970276e+00,5.277477533290017675e+00,5.325729297147987040e+00
8.750000000000000000e+00,8.363831306226449103e-02,1.130804395699868542e-01,5.714183599901090815e+00,5.249388067223101473e+00,5.288556706631680981e+00
8.800000000000000711e+00,9.252447044732962922e-02,1.260279245712139506e-01,5.709952665665312566e+00,5.223905993824651262e+00,5.253116916354031218e+00
8.849999999999999645e+00,1.022686697724788929e-01,1.403452790502010550e-01,5.707920237669860342e+00,5.201259571041319418e+00,5.219582684182249466e+00
8.900000000000000355e+00,1.129320503130764597e-01,1.561493430927076431e-01,5.708174333335321649e+00,5.181608586059006427e+00,5.187864399116165259e+00
8.949999999999999289e+00,1.245662689287713593e-01,1.735597666910405068e-01,5.710887070562463919e+00,5.165097114554946245e+00,5.158088611590329720e+00
9.000000000000000000e+00,1.372273953033684990e-01,1.926969883430217356e-01,5.716275866352702906e+00,5.151908367812929157e+00,5.130544663903243929e+00
9.050000000000000711e+00,1.509803990609463742e-01,2.136795736544038204e-01,5.724596022048913824e+00,5.142200876848903590e+00,5.105315122590880605e+00
9.099999999999999645e+00,1.658647313405643697e-01,2.366208089956132465e-01,5.736119369914149502e+00,5.135547457057747067e+00,5.081000900553000577e+00
9.150000000000000355e+00,1.819076233556872202e-01,2.616244485223941929e-01,5.751132311142121978e+00,5.131285114195136998e+00,5.055941233346672448e+00
9.199999999999999289e+00,1.990226271290510551e-01,2.887795262734824120e-01,5.770760202161817176e+00,5.132249248824855670e+00,5.036055587002458367e+00
9.250000000000000000e+00,2.172017346093012002e-01,3.181541728847319672e-01,5.795813817011008950e+00,5.140292011847641618e+00,5.025001366111666812e+00
9.300000000000000711e+00,2.365408477423885381e-01,3.497884237895204085e-01,5.826251329679337232e+00,5.154068726464842598e+00,5.019955571046509135e+00
9.349999999999999645e+00,2.570057889116452721e-01,3.836860782410958515e-01,5.862530007486547845e+00,5.173638610724701437e+00,5.020570247371601624e+00
9.400000000000000355e+00,2.785415643916400175e-01,4.198057717115751819e-01,5.905196424033135827e+00,5.199163958287385867e+00,5.026641389080381828e+00
9.449999999999999289e+00,3.010536614301629887e-01,4.580515627895676012e-01,5.955004619488143192e+00,5.231277231629618996e+00,5.038732302627742854e+00
9.500000000000000000e+00,3.243962989820894927e-01,4.982635115815675642e-01,6.012763052309125555e+00,5.270575849395655155e+00,5.057275255372061906e+00
9.550000000000000711e+00,3.483899341377833525e-01,5.402089368446743034e-01,6.079162540536380277e+00,5.317477223785274987e+00,5.082575521327157730e+00
9.599999999999999645e+00,3.728192273975119986e-01,5.835752726723613115e-01,6.155001314048121230e+00,5.372690869284156179e+00,5.115449859321699932e+00
9.650000000000000355e+00,3.974084704495690623e-01,6.279656799801152101e-01,6.240832437632832352e+00,5.436528085420832213e+00,5.156215694274138173e+00
9.699999999999999289e+00,4.218472261485475272e-01,6.728987656346746560e-01,6.337603974871733215e+00,5.509487128413894652e+00,5.204974945394688746e+00
9.750000000000000000e+00,4.457912802119530227e-01,7.178138676778983429e-01,6.446977021312534362e+00,5.592881430273870080e+00,5.262713952336540046e+00
9.800000000000000711e+00,4.688648554089426268e-01,7.620833066663018629e-01,6.570445916093007099e+00,5.688712897467802065e+00,5.332397931512005584e+00
9.849999999999999645e+00,4.907065795287920418e-01,8.050326979041587672e-01,6.709299488025230573e+00,5.797853012531142269e+00,5.414731642553860524e+00
9.900000000000000355e+00,5.109560380386160006e-01,8.459697883738511726e-01,6.864771597790337410e+00,5.919977454612549650e+00,5.508028542054169918e+00
9.949999999999999289e+00,5.292547209707749722e-01,8.842212756844654020e-01,7.038447152236578575e+00,6.055671126172676111e+00,5.612379921884894429e+00
1.000000000000000000e+01,5.452946453097918811e-01,9.191756995518143292e-01,7.231829359841903226e+00,6.205227007157503749e+00,5.727625480794188206e+00
1.005000000000000071e+01,5.588456731688263845e-01,9.503288905504335693e-01,7.446263493812168122e+00,6.368684030900517712e+00,5.853600949016779964e+00
1.009999999999999964e+01,5.697790271086801139e-01,9.773268774903547396e-01,7.682932500639935824e+00,6.545626207197422275e+00,5.989669980192495302e+00
1.015000000000000036e+01,5.780828127023190932e-01,1.000000000000000000e+00,7.942463926212234071e+00,6.734850700205910812e+00,6.134558302449548250e+00
