# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
7.049999999999999822e+00,9.888432523256109215e-10,1.053727375426383693e-02,1.115748122098736590e-02,4.962323197245098072e+00,5.032543610580461291e+00,5.271718923666881551e+00
7.099999999999999645e+00,9.874903834116321000e-10,1.173826011645676300e-02,1.251035013496620309e-02,4.916380394557791078e+00,4.974649172141319298e+00,5.199480268722545873e+00
7.150000000000000355e+00,9.859746428509518573e-10,1.307214521302127452e-02,1.402609069564649848e-02,4.873292245759053287e+00,4.919923756091620248e+00,5.134576718164176157e+00
7.200000000000000178e+00,9.842767235180035970e-10,1.455414825461309042e-02,1.572401002859466143e-02,4.833027277079004591e+00,4.869808647778022248e+00,5.075213133160254131e+00
7.250000000000000000e+00,9.823751073163582989e-10,1.620061667387202864e-02,1.762562623023997480e-02,4.795523250767040224e+00,4.823774517232266135e+00,5.020020361565968869e+00
7.299999999999999822e+00,9.802458321881216792e-10,1.802935353114995878e-02,1.975490135847656273e-02,4.760088020811956255e+00,4.780932105529394960e+00,4.969468013951797047e+00
7.349999999999999645e+00,9.778622399268725011e-10,2.006092100762253347e-02,2.213849361972575550e-02,4.725804531629620442e+00,4.739044609663395136e+00,4.921060569999617940e+00
7.400000000000000355e+00,9.751947047235367909e-10,2.231756528864717662e-02,2.480602882306145313e-02,4.692597496716629735e+00,4.697225672231574833e+00,4.872750022368471434e+00
7.450000000000000178e+00,9.722103429062793962e-10,2.482289195756307715e-02,2.779039064031893144e-02,4.660678734235290221e+00,4.655770828641877301e+00,4.824878994057542059e+00
7.500000000000000000e+00,9.688727050528311356e-10,2.760296489984435941e-02,3.112802849376723746e-02,4.630141035048005449e+00,4.615265864555361475e+00,4.778975316665878381e+00
7.549999999999999822e+00,9.651414526030696475e-10,3.068836125555605282e-02,3.485928094352865048e-02,4.600364265253965357e+00,4.574729679833978935e+00,4.734054959533494866e+00
7.599999999999999645e+00,9.609720223364797365e-10,3.411268795871743448e-02,3.902871121011854127e-02,4.570790951808291425e+00,4.532793389012709895e+00,4.687773134242810613e+00
7.650000000000000355e+00,9.563152836684450251e-10,3.791054085361253434e-02,4.368544987815325964e-02,4.541500542582788569e+00,4.489682625193857746e+00,4.640491965610038960e+00
7.700000000000000178e+00,9.511171957366206048e-10,4.211936648796412580e-02,4.888353780997771458e-02,4.512591224479294283e+00,4.445642742391584079e+00,4.592666701024661791e+00
7.750000000000000000e+00,9.453184737795832340e-10,4.677994311463699179e-02,5.468225976701514279e-02,4.484334457046351474e+00,4.401275144406234574e+00,4.544753216648892646e+00
7.799999999999999822e+00,9.388542774494253483e-10,5.193648627012590474e-02,6.114645609717286184e-02,4.457256298114238291e+00,4.357810882978782274e+00,4.497293926278530307e+00
7.849999999999999645e+00,9.316539375493750285e-10,5.763621173791449309e-02,6.834679599722323640e-02,4.431710742015035009e+00,4.315919155644436955e+00,4.450700262478228808e+00
7.900000000000000355e+00,9.236407423499123959e-10,6.392946397187006247e-02,7.635999119668582247e-02,4.407902388597968013e+00,4.275870186931697958e+00,4.405779231953808051e+00
7.950000000000000178e+00,9.147318102085849673e-10,7.087128891957512888e-02,8.526892333801337764e-02,4.385808428392358849e+00,4.237374828909231894e+00,4.362400821733743328e+00
8.000000000000000000e+00,9.048380817763696190e-10,7.852042687316264369e-02,9.516265177022877053e-02,4.365379705013339162e+00,4.199867789767843362e+00,4.319859863586913207e+00
8.050000000000000711e+00,8.938644726545111052e-10,8.693688377742858631e-02,1.061362608920871919e-01,4.346874089618864900e+00,4.163556615889987711e+00,4.278477747705224488e+00
8.099999999999999645e+00,8.817102359404911844e-10,9.618271262268647537e-02,1.182904976061071728e-01,4.330546002589784393e+00,4.128761125247280006e+00,4.238810154198382918e+00
8.150000000000000355e+00,8.682695935343503085e-10,1.063132042937263849e-01,1.317311400122480602e-01,4.316586798966000060e+00,4.095648285106520348e+00,4.201052371437135946e+00
8.199999999999999289e+00,8.534327050724506537e-10,1.173811345286137620e-01,1.465680284741477657e-01,4.305190485992625327e+00,4.064396516420451633e+00,4.165355812983250416e+00
8.250000000000000000e+00,8.370870533931206620e-10,1.294481951296657107e-01,1.629136801534777079e-01,4.296631249631360561e+00,4.035210901615940315e+00,4.131848070597904155e+00
8.300000000000000711e+00,8.191193346823506458e-10,1.425932325839213144e-01,1.808813988642476445e-01,4.291147963604281301e+00,4.008154920313771186e+00,4.100423087732451677e+00
8.349999999999999645e+00,7.994179486455850985e-10,1.568927749805617555e-01,2.005827849010131392e-01,4.289054618691395149e+00,3.983473138698670368e+00,4.071260925341839254e+00
8.400000000000000355e+00,7.778761874178573780e-10,1.724003631972323147e-01,2.221245461287409406e-01,4.290716084171322109e+00,3.961467177870190426e+00,4.044372941661499965e+00
8.449999999999999289e+00,7.543962190191194225e-10,1.891572549995094721e-01,2.456045145274788621e-01,4.296403652056781652e+00,3.942441861853637874e+00,4.019792208615584173e+00
8.500000000000000000e+00,7.288939487873090407e-10,2.071665506963014103e-01,2.711067847592892321e-01,4.306417640109089007e+00,3.926822977644150114e+00,3.997934398793574928e+00
8.550000000000000711e+00,7.013048163710343831e-10,2.264576693985594913e-01,2.986959171755639852e-01,4.321117388757869548e+00,3.915174896049748554e+00,3.979294235837059546e+00
8.599999999999999645e+00,6.715905417703969639e-10,2.470478854264644974e-01,3.284101917762013434e-01,4.340870622691497260e+00,3.908082120878191290e+00,3.964279045134389889e+00
8.650000000000000355e+00,6.397467662879052739e-10,2.688792201449172747e-01,3.602539672586930752e-01,4.366174937816325041e+00,3.906126248277402624e+00,3.953410411727560358e+00
8.699999999999999289e+00,6.058114377985957019e-10,2.918798891644028282e-01,3.941892957480025994e-01,4.397682698245532151e+00,3.909874553905737571e+00,3.947033648829552988e+00
